ProductID,underlyingID,Date,market_price,strike_price,volume,Rf,F_t,Option_type,Moneyness,,
au2412C448,au2412,2024/3/6,55.92,448,0,0.02165,503.24,C,0.890231301,,
au2412C456,au2412,2024/3/6,48.96,456,0,0.02165,503.24,C,0.906128289,,
au2412C464,au2412,2024/3/6,42.38,464,0,0.02165,503.24,C,0.922025276,,
au2412C472,au2412,2024/3/6,36.2,472,0,0.02165,503.24,C,0.937922264,,
au2412C480,au2412,2024/3/6,30.56,480,0,0.02165,503.24,C,0.953819251,,
au2412C488,au2412,2024/3/6,25.44,488,0,0.02165,503.24,C,0.969716239,,
au2412C496,au2412,2024/3/6,20.84,496,0,0.02165,503.24,C,0.985613226,,
au2412C504,au2412,2024/3/6,16.3,504,2,0.02165,503.24,C,1.001510214,,
au2412C512,au2412,2024/3/6,13.52,512,3,0.02165,503.24,C,1.017407201,,
au2412C520,au2412,2024/3/6,10.78,520,1,0.02165,503.24,C,1.033304189,,
au2412C528,au2412,2024/3/6,8.62,528,1,0.02165,503.24,C,1.049201176,,
au2412C536,au2412,2024/3/6,7.3,536,6,0.02165,503.24,C,1.065098164,,
au2412C544,au2412,2024/3/6,5.42,544,12,0.02165,503.24,C,1.080995151,,
au2412P448,au2412,2024/3/6,1.62,448,17,0.02165,503.24,P,0.890231301,,w
au2412P456,au2412,2024/3/6,2.42,456,9,0.02165,503.24,P,0.906128289,,
au2412P464,au2412,2024/3/6,3.4,464,8,0.02165,503.24,P,0.922025276,,
au2412P472,au2412,2024/3/6,5,472,8,0.02165,503.24,P,0.937922264,,
au2412P480,au2412,2024/3/6,7.94,480,2,0.02165,503.24,P,0.953819251,,
au2412P488,au2412,2024/3/6,11.06,488,1,0.02165,503.24,P,0.969716239,,
au2412P496,au2412,2024/3/6,13.9,496,3,0.02165,503.24,P,0.985613226,,
au2412P504,au2412,2024/3/6,32.76,504,4,0.02165,503.24,P,1.001510214,,
au2412P512,au2412,2024/3/6,23.08,512,0,0.02165,503.24,P,1.017407201,,
au2412P520,au2412,2024/3/6,28.12,520,0,0.02165,503.24,P,1.033304189,,
au2412P528,au2412,2024/3/6,33.64,528,0,0.02165,503.24,P,1.049201176,,
au2412P536,au2412,2024/3/6,39.66,536,0,0.02165,503.24,P,1.065098164,,
au2412P544,au2412,2024/3/6,46.06,544,0,0.02165,503.24,P,1.080995151,,
au2412C448,au2412,2024/3/7,59.68,448,0,0.02164,508.3,C,0.88136927,,
au2412C456,au2412,2024/3/7,52.6,456,0,0.02164,508.3,C,0.897108007,,
au2412C464,au2412,2024/3/7,45.86,464,0,0.02164,508.3,C,0.912846744,,
au2412C472,au2412,2024/3/7,42.12,472,5,0.02164,508.3,C,0.928585481,,
au2412C480,au2412,2024/3/7,35.56,480,5,0.02164,508.3,C,0.944324218,,
au2412C488,au2412,2024/3/7,28.24,488,4,0.02164,508.3,C,0.960062955,,
au2412C496,au2412,2024/3/7,24.8,496,4,0.02164,508.3,C,0.975801692,,
au2412C504,au2412,2024/3/7,19.2,504,0,0.02164,508.3,C,0.991540429,,
au2412C512,au2412,2024/3/7,18.86,512,2,0.02164,508.3,C,1.007279166,,
au2412C520,au2412,2024/3/7,12.3,520,0,0.02164,508.3,C,1.023017903,,
au2412C528,au2412,2024/3/7,10.92,528,3,0.02164,508.3,C,1.03875664,,
au2412C536,au2412,2024/3/7,8.8,536,2,0.02164,508.3,C,1.054495377,,
au2412C544,au2412,2024/3/7,5.68,544,0,0.02164,508.3,C,1.070234114,,
au2412C552,au2412,2024/3/7,4.26,552,0,0.02164,508.3,C,1.085972851,,
au2412P448,au2412,2024/3/7,1.82,448,26,0.02164,508.3,P,0.88136927,,
au2412P456,au2412,2024/3/7,2.04,456,20,0.02164,508.3,P,0.897108007,,
au2412P464,au2412,2024/3/7,3.1,464,13,0.02164,508.3,P,0.912846744,,
au2412P472,au2412,2024/3/7,4.54,472,7,0.02164,508.3,P,0.928585481,,
au2412P480,au2412,2024/3/7,7.52,480,0,0.02164,508.3,P,0.944324218,,
au2412P488,au2412,2024/3/7,9.1,488,2,0.02164,508.3,P,0.960062955,,
au2412P496,au2412,2024/3/7,14.52,496,2,0.02164,508.3,P,0.975801692,,
au2412P504,au2412,2024/3/7,18.96,504,1,0.02164,508.3,P,0.991540429,,
au2412P512,au2412,2024/3/7,21.1,512,0,0.02164,508.3,P,1.007279166,,
au2412P520,au2412,2024/3/7,25.86,520,0,0.02164,508.3,P,1.023017903,,
au2412P528,au2412,2024/3/7,31.16,528,0,0.02164,508.3,P,1.03875664,,
au2412P536,au2412,2024/3/7,36.92,536,0,0.02164,508.3,P,1.054495377,,
au2412P544,au2412,2024/3/7,43.08,544,0,0.02164,508.3,P,1.070234114,,
au2412P552,au2412,2024/3/7,49.62,552,0,0.02164,508.3,P,1.085972851,,
au2412C448,au2412,2024/3/8,61.32,448,0,0.0216,508.72,C,0.88064161,,
au2412C456,au2412,2024/3/8,54.22,456,0,0.0216,508.72,C,0.896367353,,
au2412C464,au2412,2024/3/8,47.46,464,0,0.0216,508.72,C,0.912093096,,
au2412C472,au2412,2024/3/8,41.48,472,15,0.0216,508.72,C,0.927818839,,
au2412C480,au2412,2024/3/8,34.66,480,2,0.0216,508.72,C,0.943544582,,
au2412C488,au2412,2024/3/8,28.88,488,2,0.0216,508.72,C,0.959270326,,
au2412C496,au2412,2024/3/8,24.92,496,2,0.0216,508.72,C,0.974996069,,
au2412C504,au2412,2024/3/8,22.88,504,2,0.0216,508.72,C,0.990721812,,
au2412C512,au2412,2024/3/8,16.66,512,0,0.0216,508.72,C,1.006447555,,
au2412C520,au2412,2024/3/8,13.36,520,0,0.0216,508.72,C,1.022173298,,
au2412C528,au2412,2024/3/8,11.16,528,2,0.0216,508.72,C,1.037899041,,
au2412C536,au2412,2024/3/8,8.26,536,0,0.0216,508.72,C,1.053624784,,
au2412C544,au2412,2024/3/8,7.28,544,3,0.0216,508.72,C,1.069350527,,
au2412C552,au2412,2024/3/8,5.52,552,2,0.0216,508.72,C,1.08507627,,
au2412P448,au2412,2024/3/8,1.66,448,1,0.0216,508.72,P,0.88064161,,
au2412P456,au2412,2024/3/8,2.12,456,9,0.0216,508.72,P,0.896367353,,
au2412P464,au2412,2024/3/8,3.16,464,6,0.0216,508.72,P,0.912093096,,
au2412P472,au2412,2024/3/8,4.24,472,4,0.0216,508.72,P,0.927818839,,
au2412P480,au2412,2024/3/8,6.58,480,2,0.0216,508.72,P,0.943544582,,
au2412P488,au2412,2024/3/8,9.94,488,0,0.0216,508.72,P,0.959270326,,
au2412P496,au2412,2024/3/8,12.32,496,2,0.0216,508.72,P,0.974996069,,
au2412P504,au2412,2024/3/8,18.48,504,2,0.0216,508.72,P,0.990721812,,
au2412P512,au2412,2024/3/8,20.7,512,0,0.0216,508.72,P,1.006447555,,
au2412P520,au2412,2024/3/8,25.32,520,0,0.0216,508.72,P,1.022173298,,
au2412P528,au2412,2024/3/8,30.46,528,0,0.0216,508.72,P,1.037899041,,
au2412P536,au2412,2024/3/8,36.1,536,0,0.0216,508.72,P,1.053624784,,
au2412P544,au2412,2024/3/8,42.16,544,0,0.0216,508.72,P,1.069350527,,
au2412P552,au2412,2024/3/8,48.6,552,0,0.0216,508.72,P,1.08507627,,
au2412C448,au2412,2024/3/11,67.8,448,1,0.02159,510.74,C,0.877158633,,
au2412C456,au2412,2024/3/11,61.06,456,2,0.02159,510.74,C,0.89282218,,
au2412C464,au2412,2024/3/11,50.44,464,0,0.02159,510.74,C,0.908485727,,
au2412C472,au2412,2024/3/11,44.08,472,0,0.02159,510.74,C,0.924149274,,
au2412C480,au2412,2024/3/11,38.12,480,0,0.02159,510.74,C,0.939812821,,
au2412C488,au2412,2024/3/11,32.6,488,0,0.02159,510.74,C,0.955476368,,
au2412C496,au2412,2024/3/11,27.56,496,0,0.02159,510.74,C,0.971139915,,
au2412C504,au2412,2024/3/11,23.04,504,0,0.02159,510.74,C,0.986803462,,
au2412C512,au2412,2024/3/11,19.08,512,0,0.02159,510.74,C,1.002467009,,
au2412C520,au2412,2024/3/11,15.6,520,0,0.02159,510.74,C,1.018130556,,
au2412C528,au2412,2024/3/11,12.3,528,7,0.02159,510.74,C,1.033794103,,
au2412C536,au2412,2024/3/11,9.26,536,1,0.02159,510.74,C,1.04945765,,
au2412C544,au2412,2024/3/11,10.02,544,2,0.02159,510.74,C,1.065121197,,
au2412C552,au2412,2024/3/11,6.24,552,3,0.02159,510.74,C,1.080784744,,
au2412C560,au2412,2024/3/11,5.46,560,8,0.02159,510.74,C,1.096448291,,
au2412P448,au2412,2024/3/11,1.54,448,10,0.02159,510.74,P,0.877158633,,
au2412P456,au2412,2024/3/11,2.1,456,12,0.02159,510.74,P,0.89282218,,
au2412P464,au2412,2024/3/11,2.96,464,10,0.02159,510.74,P,0.908485727,,
au2412P472,au2412,2024/3/11,4.26,472,3,0.02159,510.74,P,0.924149274,,
au2412P480,au2412,2024/3/11,7.54,480,2,0.02159,510.74,P,0.939812821,,
au2412P488,au2412,2024/3/11,10.02,488,0,0.02159,510.74,P,0.955476368,,
au2412P496,au2412,2024/3/11,12.92,496,0,0.02159,510.74,P,0.971139915,,
au2412P504,au2412,2024/3/11,15,504,3,0.02159,510.74,P,0.986803462,,
au2412P512,au2412,2024/3/11,20.3,512,0,0.02159,510.74,P,1.002467009,,
au2412P520,au2412,2024/3/11,24.78,520,0,0.02159,510.74,P,1.018130556,,
au2412P528,au2412,2024/3/11,29.72,528,0,0.02159,510.74,P,1.033794103,,
au2412P536,au2412,2024/3/11,35.12,536,0,0.02159,510.74,P,1.04945765,,
au2412P544,au2412,2024/3/11,40.94,544,0,0.02159,510.74,P,1.065121197,,
au2412P552,au2412,2024/3/11,47.14,552,0,0.02159,510.74,P,1.080784744,,
au2412P560,au2412,2024/3/11,53.66,560,0,0.02159,510.74,P,1.096448291,,
au2412C448,au2412,2024/3/12,63.9,448,0,0.02158,508.96,C,0.880226344,,
au2412C456,au2412,2024/3/12,56.78,456,0,0.02158,508.96,C,0.895944671,,
au2412C464,au2412,2024/3/12,49.96,464,0,0.02158,508.96,C,0.911662999,,
au2412C472,au2412,2024/3/12,43.54,472,0,0.02158,508.96,C,0.927381327,,
au2412C480,au2412,2024/3/12,37.54,480,0,0.02158,508.96,C,0.943099654,,
au2412C488,au2412,2024/3/12,32.02,488,0,0.02158,508.96,C,0.958817982,,
au2412C496,au2412,2024/3/12,26.96,496,0,0.02158,508.96,C,0.974536309,,
au2412C504,au2412,2024/3/12,22.44,504,0,0.02158,508.96,C,0.990254637,,
au2412C512,au2412,2024/3/12,18.48,512,0,0.02158,508.96,C,1.005972964,,
au2412C520,au2412,2024/3/12,15.02,520,0,0.02158,508.96,C,1.021691292,,
au2412C528,au2412,2024/3/12,11.12,528,1,0.02158,508.96,C,1.03740962,,
au2412C536,au2412,2024/3/12,8.92,536,3,0.02158,508.96,C,1.053127947,,
au2412C544,au2412,2024/3/12,7.46,544,11,0.02158,508.96,C,1.068846275,,
au2412C552,au2412,2024/3/12,7.02,552,7,0.02158,508.96,C,1.084564602,,
au2412C560,au2412,2024/3/12,4.96,560,12,0.02158,508.96,C,1.10028293,,
au2412P448,au2412,2024/3/12,2.84,448,8,0.02158,508.96,P,0.880226344,,
au2412P456,au2412,2024/3/12,2.36,456,17,0.02158,508.96,P,0.895944671,,
au2412P464,au2412,2024/3/12,3.16,464,21,0.02158,508.96,P,0.911662999,,
au2412P472,au2412,2024/3/12,5.6,472,5,0.02158,508.96,P,0.927381327,,
au2412P480,au2412,2024/3/12,7.26,480,0,0.02158,508.96,P,0.943099654,,
au2412P488,au2412,2024/3/12,9.66,488,0,0.02158,508.96,P,0.958817982,,
au2412P496,au2412,2024/3/12,12.56,496,0,0.02158,508.96,P,0.974536309,,
