2026-05-13 13:07:34.514 | INFO     | __main__:run_convergence_study:228 | ======================================================================
2026-05-13 13:07:34.514 | INFO     | __main__:run_convergence_study:229 | Convergence Study: 2D-CTMC-SVJ
2026-05-13 13:07:34.514 | INFO     | __main__:run_convergence_study:230 | Grid configs: 20x100, 30x150, 40x200, 60x300, 80x400
2026-05-13 13:07:34.514 | INFO     | __main__:run_convergence_study:232 | Grid mode: standard
2026-05-13 13:07:34.514 | INFO     | __main__:run_convergence_study:233 | Smooth payoff: False
2026-05-13 13:07:34.514 | INFO     | __main__:run_convergence_study:236 | ======================================================================
2026-05-13 13:07:34.514 | INFO     | __main__:run_convergence_study:245 | 
--- Grid: 20x100, n_steps=200 ---
2026-05-13 13:07:34.514 | DEBUG    | src.grid_construction:generate_sinh_grid:65 | Sinh grid: [0.0080, 0.1200], center=0.0400, alpha=0.5, spacing range=[0.005876, 0.005945]
2026-05-13 13:07:34.514 | INFO     | src.grid_construction:build_variance_grid:112 | Layer 1 variance grid built: 20 points, range=[0.008000, 0.120000]
2026-05-13 13:07:34.514 | DEBUG    | src.grid_construction:generate_sinh_grid:65 | Sinh grid: [3.6593, 5.7377], center=4.6985, alpha=1.0, spacing range=[0.018361, 0.026306]
2026-05-13 13:07:34.514 | INFO     | src.grid_construction:build_price_grid:161 | Layer 2 price grid built: 100 points, range=[3.6593, 5.7377] (S range=[38.83, 310.36])
2026-05-13 13:07:34.515 | DEBUG    | src.layer1_variance:construct_variance_generator:204 | Layer 1 generator: stencil=auto, 5pt interior: 0/16, fallbacks: 16
2026-05-13 13:07:34.515 | INFO     | src.layer1_variance:construct_variance_generator:208 | Layer 1 generator Q^(m) built: shape=(20, 20), off-diag range=[10.804812, 158.073591]
2026-05-13 13:07:34.515 | DEBUG    | src.layer1_variance:_validate_generator:347 | Layer 1 variance generator validated OK
2026-05-13 13:07:34.515 | INFO     | src.layer1_variance:compute_v_generator_exp_moment:254 | V-generator exp moment: epsilon_v range=[-4.157785e-14, 2.220446e-14], |max|=4.157785e-14
2026-05-13 13:07:34.515 | INFO     | src.layer2_price:construct_all_regime_generators:346 | Drift correction: 9/20 regimes corrected, epsilon_v range=[-4.157785e-14, 2.220446e-14]
2026-05-13 13:07:34.517 | DEBUG    | src.layer2_price:construct_regime_generator:223 | Layer 2 generator: stencil=auto, 5pt interior points: 0/96, fallbacks: 96
2026-05-13 13:07:34.519 | DEBUG    | src.layer2_price:construct_regime_generator:223 | Layer 2 generator: stencil=auto, 5pt interior points: 0/96, fallbacks: 96
2026-05-13 13:07:34.521 | DEBUG    | src.layer2_price:construct_regime_generator:223 | Layer 2 generator: stencil=auto, 5pt interior points: 0/96, fallbacks: 96
2026-05-13 13:07:34.523 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.524 | DEBUG    | src.layer2_price:construct_regime_generator:223 | Layer 2 generator: stencil=auto, 5pt interior points: 0/96, fallbacks: 96
2026-05-13 13:07:34.527 | DEBUG    | src.layer2_price:construct_regime_generator:223 | Layer 2 generator: stencil=auto, 5pt interior points: 0/96, fallbacks: 96
