Phase,T,K,Moneyness,CTMC_Price,Analytical_Price,Abs_Error,Rel_Error_%,CTMC_Time_s
Heston,0.25,80,0.8,0.102215,0.0,0.102215,102215076026.087,7.9003
Heston,0.25,90,0.9,0.819159,0.445299,0.37386,83.957,7.4503
Heston,0.25,95,0.95,1.839214,1.48415,0.355065,23.9238,7.4657
Heston,0.25,100,1.0,3.64717,3.5297,0.117471,3.3281,7.5658
Heston,0.25,105,1.05,6.453808,6.702165,0.248357,3.7056,7.494
Heston,0.25,110,1.1,10.250286,10.677559,0.427273,4.0016,7.3701
Heston,0.25,120,1.2,19.577771,19.440434,0.137337,0.7065,7.328
Heston,0.5,80,0.8,0.402196,0.052012,0.350184,673.2785,6.9012
Heston,0.5,90,0.9,1.633593,1.176222,0.457371,38.8847,6.9385
Heston,0.5,95,0.95,2.885774,2.565317,0.320457,12.4919,6.8883
Heston,0.5,100,1.0,4.752921,4.752499,0.000422,0.0089,6.8596
Heston,0.5,105,1.05,7.346556,7.788586,0.44203,5.6754,6.8762
Heston,0.5,110,1.1,10.689858,11.518234,0.828376,7.1919,6.8729
Heston,0.5,120,1.2,19.140447,19.829864,0.689417,3.4767,6.9025
Heston,1.0,80,0.8,1.008641,0.534723,0.473918,88.6287,6.3017
Heston,1.0,90,0.9,2.754131,2.400541,0.35359,14.7296,6.244
Heston,1.0,95,0.95,4.196058,4.069991,0.126068,3.0975,6.2741
Heston,1.0,100,1.0,6.110612,6.330703,0.220091,3.4766,6.3285
Heston,1.0,105,1.05,8.543286,9.19044,0.647153,7.0416,6.4122
Heston,1.0,110,1.1,11.504678,12.58207,1.077392,8.5629,6.3145
Heston,1.0,120,1.2,18.854062,20.391735,1.537672,7.5407,6.3244
